,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain in Last 3 Hours (inches),Snow in Last 3 Hours (inches),Weather Description
0,Carnarvon,ZA,2019-10-22 06:22:58,-30.97,22.13,52.43,47,0,10.33,0.0,0.0,clear sky
1,Isla Mujeres,MX,2019-10-22 06:25:23,21.23,-86.73,82.4,83,5,9.17,0.0,0.0,clear sky
2,Arraial Do Cabo,BR,2019-10-22 06:22:39,-22.97,-42.02,70.2,74,76,11.52,0.0,0.0,broken clouds
3,Vestmanna,FO,2019-10-22 06:25:24,62.16,-7.17,41.0,75,83,10.29,0.0,0.0,light rain
4,Eltham,GB,2019-10-22 06:25:24,51.45,0.05,48.2,93,24,4.7,0.0,0.0,few clouds
5,Sao Gabriel Da Cachoeira,BR,2019-10-22 06:25:24,-0.13,-67.09,72.43,89,42,1.12,0.0,0.0,scattered clouds
6,Novoagansk,RU,2019-10-22 06:25:25,61.94,76.66,28.65,80,24,13.91,0.0,0.0,few clouds
7,Khatanga,RU,2019-10-22 06:23:08,71.98,102.47,16.77,92,100,15.26,0.0,0.13,light snow
8,Shingu,JP,2019-10-22 06:25:25,33.72,135.99,75.2,57,40,16.11,0.0,0.0,scattered clouds
9,Esperance,AU,2019-10-22 06:23:31,-33.86,121.89,68.0,64,0,16.11,0.0,0.0,clear sky
10,Butaritari,KI,2019-10-22 06:22:51,3.07,172.79,84.4,76,3,12.41,0.31,0.0,light rain
11,Jalu,LY,2019-10-22 06:23:29,29.03,21.55,70.05,68,0,6.55,0.0,0.0,clear sky
12,Kapaa,US,2019-10-22 06:22:34,22.08,-159.32,80.6,83,90,14.99,0.0,0.0,overcast clouds
13,Georgetown,GY,2019-10-22 06:23:06,6.8,-58.16,73.4,100,20,2.24,0.0,0.0,few clouds
14,Hermanus,ZA,2019-10-22 06:22:28,-34.42,19.24,57.99,66,98,11.99,0.0,0.0,overcast clouds
15,Fortuna,US,2019-10-22 06:23:54,40.6,-124.16,51.01,100,20,5.82,0.0,0.0,few clouds
16,Albany,US,2019-10-22 06:22:43,42.65,-73.75,48.99,87,75,4.38,0.0,0.0,fog
17,Nemuro,JP,2019-10-22 06:23:29,43.32,145.57,59.0,72,75,6.93,0.0,0.0,broken clouds
18,Yellowknife,CA,2019-10-22 06:22:34,62.45,-114.38,32.0,95,90,4.7,0.0,0.0,light snow
19,Vaini,IN,2019-10-22 06:22:50,15.34,74.49,80.6,69,75,9.17,0.0,0.0,broken clouds
20,Ligayan,PH,2019-10-22 06:25:29,4.65,119.47,84.92,68,76,5.12,0.0,0.0,broken clouds
21,Riyadh,SA,2019-10-22 06:25:29,24.63,46.72,89.6,14,0,11.41,0.0,0.0,clear sky
22,Ushuaia,AR,2019-10-22 06:23:04,-54.81,-68.31,51.8,43,40,17.22,0.0,0.0,scattered clouds
23,Nome,US,2019-10-22 06:22:51,30.04,-94.42,64.0,82,1,5.82,0.0,0.0,clear sky
24,Airai,TL,2019-10-22 06:23:21,-8.93,125.41,85.12,25,2,9.35,0.0,0.0,clear sky
25,Severo-Kurilsk,RU,2019-10-22 06:23:01,50.68,156.12,39.04,92,17,4.74,0.0,0.0,few clouds
26,Vanimo,PG,2019-10-22 06:15:41,-2.67,141.3,83.3,73,89,7.2,0.5,0.0,light rain
27,Ponta Delgada,PT,2019-10-22 06:25:31,37.73,-25.67,59.0,87,75,4.7,0.0,0.0,broken clouds
28,Santa Rosa,AR,2019-10-22 06:25:31,-36.62,-64.29,40.84,74,0,3.06,0.0,0.0,clear sky
29,Souillac,FR,2019-10-22 06:25:32,45.6,-0.6,45.0,100,20,3.36,0.0,0.0,few clouds
30,Sao Filipe,CV,2019-10-22 06:22:48,14.9,-24.5,75.72,78,0,15.08,0.0,0.0,clear sky
31,Aklavik,CA,2019-10-22 06:22:37,68.22,-135.01,19.4,92,90,4.7,0.0,0.0,light snow
32,Leh,IN,2019-10-22 06:25:32,34.16,77.58,32.68,25,23,3.24,0.0,0.0,few clouds
33,Hofn,IS,2019-10-22 06:24:53,64.25,-15.21,36.48,53,62,16.89,0.0,0.0,broken clouds
34,Yerbogachen,RU,2019-10-22 06:24:50,61.28,108.01,24.21,61,96,8.46,0.0,0.0,overcast clouds
35,Nouakchott,MR,2019-10-22 06:25:33,18.08,-15.98,71.6,46,0,17.22,0.0,0.0,clear sky
