,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain in Last 3 Hours (inches),Snow in Last 3 Hours (inches),Weather Description,Hotel Name
1,Isla Mujeres,MX,2019-10-22 06:25:23,21.23,-86.73,82.4,83,5,9.17,0.0,0.0,clear sky,Hotel La Joya Isla Mujeres
8,Shingu,JP,2019-10-22 06:25:25,33.72,135.99,75.2,57,40,16.11,0.0,0.0,scattered clouds,新宮ユーアイホテル
12,Kapaa,US,2019-10-22 06:22:34,22.08,-159.32,80.6,83,90,14.99,0.0,0.0,overcast clouds,Courtyard by Marriott Kaua'i at Coconut Beach
19,Vaini,IN,2019-10-22 06:22:50,15.34,74.49,80.6,69,75,9.17,0.0,0.0,broken clouds,Dandeli Lake County
20,Ligayan,PH,2019-10-22 06:25:29,4.65,119.47,84.92,68,76,5.12,0.0,0.0,broken clouds,
21,Riyadh,SA,2019-10-22 06:25:29,24.63,46.72,89.6,14,0,11.41,0.0,0.0,clear sky,Al Salam Hotel
24,Airai,TL,2019-10-22 06:23:21,-8.93,125.41,85.12,25,2,9.35,0.0,0.0,clear sky,Juvinal Martin
30,Sao Filipe,CV,2019-10-22 06:22:48,14.9,-24.5,75.72,78,0,15.08,0.0,0.0,clear sky,Tortuga B&B
38,Atuona,PF,2019-10-22 06:25:00,-9.8,-139.03,78.6,77,20,12.82,0.0,0.0,few clouds,Villa Enata
40,Alice Springs,AU,2019-10-22 06:25:35,-23.7,133.88,89.6,6,0,13.87,0.0,0.0,clear sky,Desert Palms Alice Springs
42,Hambantota,LK,2019-10-22 06:24:10,6.12,81.12,84.2,83,75,6.93,0.0,0.0,broken clouds,Bungalow 63
45,Port Antonio,JM,2019-10-22 06:25:37,18.18,-76.45,80.6,83,20,3.36,0.0,0.0,few clouds,Trident Hotel
51,Jamestown,AU,2019-10-22 06:22:32,-33.21,138.6,81.77,16,98,7.05,0.0,0.0,overcast clouds,Jamestown Motel Terraces
53,Grand Gaube,MU,2019-10-22 06:25:39,-20.01,57.66,80.6,69,75,18.34,0.0,0.0,broken clouds,Veranda Paul et Virginie Hotel & Spa
56,Rohtak,IN,2019-10-22 06:25:40,28.9,76.58,80.6,44,40,9.17,0.0,0.0,haze,D2M Hotel& Restaurant
57,Ambagarh Chauki,IN,2019-10-22 06:25:40,20.78,80.75,81.39,65,27,6.6,0.0,0.0,scattered clouds,Afjal Furite Corner
62,Bluff,AU,2019-10-22 06:22:35,-23.58,149.07,84.74,21,0,13.67,0.0,0.0,clear sky,Bluff Hotel
65,Port Blair,IN,2019-10-22 06:23:18,11.67,92.75,84.2,83,75,5.82,0.0,0.0,broken clouds,Fortune Resort Bay Island
72,Shakawe,BW,2019-10-22 06:25:45,-18.36,21.84,85.42,11,98,3.02,0.0,0.0,overcast clouds,Delta Belle Boat House
73,Utmanzai,PK,2019-10-22 06:25:45,34.19,71.76,77.0,50,40,3.31,0.0,0.0,haze,Junaid Akbar Quraishi
77,Busselton,AU,2019-10-22 06:22:33,-33.64,115.35,82.0,38,13,9.35,0.0,0.0,few clouds,Observatory Guest House
84,Katsuura,JP,2019-10-22 06:22:57,33.93,134.5,77.0,50,75,13.87,0.0,0.0,broken clouds,喜楽の湯
86,The Valley,AI,2019-10-22 06:25:49,18.22,-63.06,82.4,78,20,3.36,0.0,0.0,few clouds,CeBlue Villas & Beach Resort
87,Praya,ID,2019-10-22 06:25:49,-8.71,116.27,89.6,55,40,12.75,0.0,0.0,scattered clouds,Grand Royal B.I.L Lombok
89,Carutapera,BR,2019-10-22 06:25:50,-1.2,-46.02,79.92,82,34,12.62,0.0,0.0,scattered clouds,Lidera
93,Faanui,PF,2019-10-22 06:23:07,-16.48,-151.75,81.18,69,0,5.35,0.0,0.0,clear sky,Bora-Bora Pearl Beach Resort & Spa
94,Catuday,PH,2019-10-22 06:25:51,16.29,119.81,84.43,66,12,4.18,0.0,0.0,few clouds,GResort
95,Cabo San Lucas,MX,2019-10-22 06:23:23,22.89,-109.91,78.01,86,24,1.01,0.0,0.0,few clouds,Tesoro Los Cabos
100,Sambava,MG,2019-10-22 06:25:53,-14.27,50.17,86.68,53,8,2.86,0.0,0.0,clear sky,Melrose
103,Mahebourg,MU,2019-10-22 06:23:39,-20.41,57.7,80.6,69,75,18.34,0.0,0.0,broken clouds,Shandrani Beachcomber Resort & Spa
105,Codrington,AU,2019-10-22 06:24:45,-28.95,153.24,75.2,50,2,14.99,0.0,0.0,clear sky,
110,Hilo,US,2019-10-22 06:22:37,19.71,-155.08,77.0,78,75,6.93,0.0,0.0,broken clouds,Hilo Seaside Hotel
111,Lasa,CY,2019-10-22 06:25:55,34.92,32.53,75.2,44,20,3.36,0.0,0.0,few clouds,Lasa Heights Hotel
112,Horsham,AU,2019-10-22 06:25:56,-36.71,142.2,77.95,30,0,0.63,0.0,0.0,clear sky,Comfort Inn Capital Horsham
123,Klang,MY,2019-10-22 06:25:59,3.05,101.45,89.6,70,40,4.7,0.0,0.0,scattered clouds,I-City Hotel
128,Isangel,VU,2019-10-22 06:22:41,-19.55,169.27,84.2,62,75,9.17,0.0,0.0,broken clouds,Volcano Sea View Tree House
129,Tual,ID,2019-10-22 06:23:21,-5.67,132.75,81.59,71,8,9.86,0.0,0.0,clear sky,Grand Vilia Hotel
131,Gladstone,AU,2019-10-22 06:26:01,-23.84,151.26,77.0,50,0,16.11,0.0,0.0,clear sky,Metro Hotel and Apartments Gladstone
136,Kahului,US,2019-10-22 06:23:44,20.89,-156.47,80.6,54,20,14.99,0.0,0.0,few clouds,Maui Seaside Hotel
139,Morros,BR,2019-10-22 06:26:04,-2.87,-44.04,78.8,88,20,9.17,0.0,0.0,few clouds,Pousada Quebra Anzol
145,Hithadhoo,MV,2019-10-22 06:23:03,-0.6,73.08,81.48,76,80,11.34,0.0,0.0,broken clouds,Scoop Guest House
146,Ixtapa,MX,2019-10-22 06:23:00,20.71,-105.21,75.99,94,75,2.37,0.0,0.0,broken clouds,Container Inn Puerto Vallarta
147,Alibag,IN,2019-10-22 06:26:06,18.64,72.88,87.8,62,75,6.93,0.0,0.0,haze,"Radisson Blu Resort & Spa - Alibaug, India"
153,Rundu,,2019-10-22 06:26:08,-17.91,19.77,80.6,14,77,4.7,0.0,0.0,broken clouds,Millennia Estate
155,Noumea,NC,2019-10-22 06:26:09,-22.28,166.46,77.0,61,63,13.87,0.0,0.0,broken clouds,Hôtel Le Lagon
156,Biltine,TD,2019-10-22 06:26:09,14.53,20.93,85.01,46,19,5.93,0.0,0.0,few clouds,Hôtel Trois Étoiles de Biltine
