City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2019-10-21 03:11:20,-23.12,-134.97,70.39,73,94,15.19
1,Avarua,CK,2019-10-21 03:11:21,-21.21,-159.78,77.0,83,0,14.99
2,Chicama,PE,2019-10-21 03:11:21,-7.84,-79.15,62.6,82,75,12.75
3,Khatanga,RU,2019-10-21 03:11:21,71.98,102.47,19.63,94,100,15.21
4,Ushuaia,AR,2019-10-21 03:02:24,-54.81,-68.31,42.8,70,0,4.21
5,Butaritari,KI,2019-10-21 03:11:22,3.07,172.79,85.35,67,46,10.4
6,Hovd,NO,2019-10-21 03:11:22,63.83,10.7,43.0,93,75,5.82
7,East London,ZA,2019-10-21 03:11:23,-33.02,27.91,60.04,77,93,8.77
8,Punta Arenas,CL,2019-10-21 03:11:23,-53.16,-70.91,42.8,70,0,17.22
9,Cap Malheureux,MU,2019-10-21 03:11:23,-19.98,57.61,72.0,94,90,6.93
10,Svolvaer,NO,2019-10-21 03:11:23,68.23,14.57,37.4,86,75,8.05
11,Cabo San Lucas,MX,2019-10-21 03:11:24,22.89,-109.91,79.0,83,5,9.17
12,Ribeira Grande,PT,2019-10-21 03:11:24,38.52,-28.7,65.33,61,52,8.81
13,Albany,US,2019-10-21 03:10:20,42.65,-73.75,48.0,87,90,0.98
14,Bambous Virieux,MU,2019-10-21 03:11:25,-20.34,57.76,72.0,94,90,6.93
15,Marsh Harbour,BS,2019-10-21 03:11:25,26.54,-77.06,81.66,86,60,9.06
16,Kodiak,US,2019-10-21 03:11:26,39.95,-94.76,59.0,82,1,12.75
17,Puerto Ayora,EC,2019-10-21 03:11:26,-0.74,-90.35,68.0,92,6,5.99
18,Horsham,AU,2019-10-21 03:11:27,-36.71,142.2,66.92,55,0,6.71
19,Jambusar,IN,2019-10-21 03:11:27,22.05,72.81,75.2,83,40,3.36
20,Vanavara,RU,2019-10-21 03:11:27,60.35,102.28,22.56,80,100,4.07
21,Paita,PE,2019-10-21 03:11:28,-5.09,-81.11,63.21,89,94,16.87
22,Bredasdorp,ZA,2019-10-21 03:11:28,-34.53,20.04,57.99,71,100,6.93
23,Dikson,RU,2019-10-21 03:10:21,73.51,80.55,26.24,83,69,15.28
24,Saint-Pierre,FR,2019-10-21 03:11:29,48.95,4.24,57.2,93,75,18.34
25,Umm Lajj,SA,2019-10-21 03:11:30,25.02,37.27,86.63,61,0,10.78
26,Chuy,UY,2019-10-21 03:11:30,-33.69,-53.46,57.36,79,100,9.53
27,Meghri,AM,2019-10-21 03:11:31,38.9,46.25,46.99,57,100,9.17
28,Codrington,AU,2019-10-21 03:11:31,-28.95,153.24,75.99,36,0,6.93
29,Mazatlan,MX,2019-10-21 03:11:31,23.22,-106.42,84.0,78,90,5.82
30,Atuona,PF,2019-10-21 03:11:32,-9.8,-139.03,79.44,74,2,12.46
31,Upernavik,GL,2019-10-21 03:11:32,72.79,-56.15,17.85,77,74,7.23
32,Jamestown,AU,2019-10-21 03:11:33,-33.21,138.6,83.15,16,35,1.77
33,Mataura,NZ,2019-10-21 03:11:34,-46.19,168.86,46.99,85,82,11.99
34,Oktyabrskiy,RU,2019-10-21 03:11:34,55.61,37.97,55.4,76,100,2.24
35,Tuktoyaktuk,CA,2019-10-21 03:11:35,69.44,-133.03,17.6,92,5,9.17
36,Ayagoz,KZ,2019-10-21 03:11:35,47.96,80.43,16.39,78,63,30.06
37,Kyshtovka,RU,2019-10-21 03:11:36,56.56,76.62,22.76,70,1,10.29
38,Cape Town,ZA,2019-10-21 03:11:36,-33.93,18.42,57.99,71,20,1.12
39,Mayo,CA,2019-10-21 03:11:36,63.59,-135.9,30.2,100,90,1.34
40,Katsuura,JP,2019-10-21 03:11:37,33.93,134.5,68.0,72,75,8.05
41,Hualmay,PE,2019-10-21 03:11:37,-11.1,-77.61,61.64,90,7,18.19
42,Podor,MR,2019-10-21 03:11:37,16.65,-14.96,83.37,37,0,10.2
43,Rundu,NA,2019-10-21 03:11:38,-17.91,19.77,70.79,17,6,4.34
44,Yulara,AU,2019-10-21 03:11:38,-25.24,130.99,84.2,9,100,16.11
45,Hermanus,ZA,2019-10-21 03:11:38,-34.42,19.24,57.99,73,100,5.99
46,Hobart,AU,2019-10-21 03:11:39,-42.88,147.33,73.0,34,0,11.41
47,Nassau,AT,2019-10-21 03:11:40,46.81,15.34,64.99,93,82,2.24
48,Sambava,MG,2019-10-21 03:11:40,-14.27,50.17,67.19,85,0,3.0
49,Half Moon Bay,US,2019-10-21 03:11:41,37.46,-122.43,63.0,72,1,16.11
50,Longyearbyen,NO,2019-10-21 03:11:41,78.22,15.63,12.2,66,75,6.93
51,Sisimiut,GL,2019-10-21 03:11:42,66.94,-53.67,31.01,64,0,10.33
52,New Norfolk,AU,2019-10-21 03:11:42,-42.78,147.06,73.0,34,0,11.41
53,Airai,TL,2019-10-21 03:11:42,-8.93,125.41,90.23,42,11,4.09
54,Yuanping,CN,2019-10-21 03:11:43,38.72,112.71,50.46,22,0,5.5
55,Carnarvon,ZA,2019-10-21 03:11:44,-30.97,22.13,53.04,47,0,15.84
56,Yellowknife,CA,2019-10-21 03:11:44,62.45,-114.38,25.0,79,20,5.82
57,Nanortalik,GL,2019-10-21 03:11:45,60.14,-45.24,38.93,69,77,5.28
58,Qaanaaq,GL,2019-10-21 03:11:45,77.48,-69.36,1.22,47,0,11.21
59,Ust-Nera,RU,2019-10-21 03:11:46,64.57,143.24,11.67,91,14,1.14
60,Meulaboh,ID,2019-10-21 03:11:47,4.14,96.13,79.16,85,98,6.4
61,Clinton,US,2019-10-21 03:11:47,41.28,-72.53,54.0,87,90,5.82
62,Saint George,GR,2019-10-21 03:11:47,39.45,22.34,57.2,93,0,4.7
63,Lavrentiya,RU,2019-10-21 03:11:48,65.58,-170.99,24.87,95,100,5.06
64,Chokurdakh,RU,2019-10-21 03:10:18,70.62,147.9,2.8,95,85,4.25
65,Leningradskiy,RU,2019-10-21 03:11:48,69.38,178.42,24.72,94,100,24.02
66,Dingle,PH,2019-10-21 03:11:49,11.0,122.67,85.69,70,100,6.02
67,Gat,SN,2019-10-21 03:11:49,14.69,-16.54,77.0,88,0,11.41
68,Nabire,ID,2019-10-21 03:11:50,-3.36,135.5,81.28,81,94,0.78
69,Arraial Do Cabo,BR,2019-10-21 03:11:50,-22.97,-42.02,71.6,64,75,9.17
70,Saskylakh,RU,2019-10-21 03:11:51,71.97,114.09,8.31,86,100,11.14
71,Busselton,AU,2019-10-21 03:11:51,-33.64,115.35,78.01,41,0,7.07
72,San Patricio,PY,2019-10-21 03:11:51,-26.98,-56.83,61.14,97,96,5.77
73,Formosa Do Rio Preto,BR,2019-10-21 03:11:52,-11.04,-45.19,76.01,66,55,4.5
74,Lagoa,PT,2019-10-21 03:11:52,37.14,-8.45,54.0,87,0,1.12
75,Laguna,BZ,2019-10-21 03:11:53,16.17,-88.94,80.6,94,0,3.15
76,Hithadhoo,MV,2019-10-21 03:11:53,-0.6,73.08,80.79,75,43,11.34
